,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-07 12:14:12.255839,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:14:36.973102,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:14:52.361916,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:15:14.007348,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:15:32.092712,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:15:53.267512,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:16:07.305657,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:16:20.263630,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:16:44.044509,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:16:58.842581,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:17:23.416545,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:17:46.642319,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:18:05.322482,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:18:21.463374,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:18:36.253678,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:19:01.194883,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:19:19.103383,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:19:40.626133,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:20:00.020274,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:20:13.967761,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:20:32.601912,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:20:57.110393,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:21:12.509718,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:21:28.733121,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:21:54.075855,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:22:11.185686,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:22:35.048460,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:22:48.830808,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:23:10.738637,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:23:34.399684,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:23:57.690083,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:24:20.882087,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:24:39.331261,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:24:54.146124,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:25:18.955212,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:25:41.666480,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:25:56.415620,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:26:14.226432,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:26:34.540488,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:26:51.440298,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:27:13.828542,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:27:36.090880,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:27:59.296323,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:28:11.569926,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:28:29.410110,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:28:54.817548,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:29:11.809192,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:29:27.929408,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:29:53.141121,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:30:13.689024,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:30:37.908541,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:30:56.678716,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:31:11.594008,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:31:24.100598,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:31:48.237748,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:32:02.378414,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:32:21.823681,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:32:40.985545,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:32:57.502759,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:33:18.032882,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:33:35.264663,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:33:57.424562,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:34:14.405284,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:34:31.715328,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:34:56.823236,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:35:18.121489,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:35:40.260555,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:35:52.459167,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:36:11.133621,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:36:26.526532,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:36:42.506179,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:36:55.609022,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:37:13.956049,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:37:33.254480,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:37:58.752986,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:38:13.951077,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:38:38.931653,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:38:54.855067,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:39:18.801460,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:39:40.482514,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:40:03.040090,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:40:27.471657,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:40:42.595185,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:40:56.290803,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:41:11.042327,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:41:34.520267,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:41:49.815372,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:42:13.357241,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:42:35.381062,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:42:49.996806,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:43:08.950027,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:43:31.249348,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:43:51.275332,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:44:12.509297,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:44:31.783060,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:44:44.954359,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:45:00.500679,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:45:14.764317,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:45:38.126579,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:45:56.797354,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:46:10.240165,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:46:35.513583,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:46:53.926847,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:47:08.381222,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:47:29.679753,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:47:49.362034,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:48:04.957620,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:48:23.684592,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:48:39.697502,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:49:02.282464,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:49:25.065616,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:49:46.725394,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:50:09.206480,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:50:23.843011,26024,10888,41.800,14536,55.900,77.300
2024-11-07 12:50:39.084788,26024,10888,41.800,14536,55.900,77.300
