,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-05 19:38:00.320445,0,0,0.000,0,0.000,0.000
2024-11-05 19:38:26.574945,0,0,0.000,0,0.000,0.000
2024-11-05 19:38:52.038650,0,0,0.000,0,0.000,0.000
2024-11-05 19:39:11.332181,0,0,0.000,0,0.000,0.000
2024-11-05 19:39:40.070153,0,0,0.000,0,0.000,0.000
2024-11-05 19:40:05.374540,0,0,0.000,0,0.000,0.000
2024-11-05 19:40:30.399266,0,0,0.000,0,0.000,0.000
2024-11-05 19:40:55.577434,0,0,0.000,0,0.000,0.000
2024-11-05 19:41:29.907173,0,0,0.000,0,0.000,0.000
2024-11-05 19:41:59.933403,0,0,0.000,0,0.000,0.000
2024-11-05 19:42:28.058882,0,0,0.000,0,0.000,0.000
2024-11-05 19:42:53.584420,0,0,0.000,0,0.000,0.000
2024-11-05 19:43:58.240693,0,0,0.000,0,0.000,0.000
2024-11-05 19:44:54.345614,0,0,0.000,0,0.000,0.000
2024-11-05 19:45:19.027940,0,0,0.000,0,0.000,0.000
2024-11-05 19:45:45.969799,0,0,0.000,0,0.000,0.000
2024-11-05 19:46:06.121588,0,0,0.000,0,0.000,0.000
2024-11-05 19:46:28.783147,0,0,0.000,0,0.000,0.000
2024-11-05 19:46:56.688747,0,0,0.000,0,0.000,0.000
2024-11-05 19:47:15.029457,0,0,0.000,0,0.000,0.000
2024-11-05 19:47:37.271782,0,0,0.000,0,0.000,0.000
2024-11-05 19:48:01.985505,0,0,0.000,0,0.000,0.000
2024-11-05 19:48:26.427533,0,0,0.000,0,0.000,0.000
2024-11-05 19:48:44.453216,0,0,0.000,0,0.000,0.000
2024-11-05 19:48:59.816407,0,0,0.000,0,0.000,0.000
2024-11-05 19:49:20.612051,0,0,0.000,0,0.000,0.000
2024-11-05 19:49:44.255415,0,0,0.000,0,0.000,0.000
2024-11-05 19:50:00.474879,0,0,0.000,0,0.000,0.000
2024-11-05 19:50:25.672197,0,0,0.000,0,0.000,0.000
2024-11-05 19:50:47.407055,0,0,0.000,0,0.000,0.000
2024-11-05 19:51:13.632748,0,0,0.000,0,0.000,0.000
2024-11-05 19:51:43.019499,0,0,0.000,0,0.000,0.000
2024-11-05 19:51:57.867790,0,0,0.000,0,0.000,0.000
2024-11-05 19:52:20.927644,0,0,0.000,0,0.000,0.000
2024-11-05 19:52:43.339039,0,0,0.000,0,0.000,0.000
2024-11-05 19:53:08.892380,0,0,0.000,0,0.000,0.000
2024-11-05 19:53:25.183791,0,0,0.000,0,0.000,0.000
2024-11-05 19:53:41.491728,0,0,0.000,0,0.000,0.000
2024-11-05 19:54:08.496462,0,0,0.000,0,0.000,0.000
2024-11-05 19:54:30.589838,0,0,0.000,0,0.000,0.000
2024-11-05 19:54:50.329955,0,0,0.000,0,0.000,0.000
2024-11-05 19:55:16.632206,0,0,0.000,0,0.000,0.000
2024-11-05 19:55:38.393238,0,0,0.000,0,0.000,0.000
2024-11-05 19:55:58.348402,0,0,0.000,0,0.000,0.000
2024-11-05 19:56:14.731654,0,0,0.000,0,0.000,0.000
2024-11-05 19:56:36.584331,0,0,0.000,0,0.000,0.000
2024-11-05 19:57:07.117332,0,0,0.000,0,0.000,0.000
2024-11-05 19:57:32.923169,0,0,0.000,0,0.000,0.000
2024-11-05 19:57:50.299147,0,0,0.000,0,0.000,0.000
2024-11-05 19:58:19.023320,0,0,0.000,0,0.000,0.000
2024-11-05 19:58:38.885130,0,0,0.000,0,0.000,0.000
2024-11-05 19:58:58.027889,0,0,0.000,0,0.000,0.000
2024-11-05 19:59:18.918160,0,0,0.000,0,0.000,0.000
2024-11-05 19:59:37.466026,0,0,0.000,0,0.000,0.000
2024-11-05 21:42:58.396157,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:43:15.832150,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:43:30.733470,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:43:49.927986,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:44:09.847265,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:44:29.687102,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:44:47.869521,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:45:11.600845,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:45:28.564340,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:45:47.393357,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:46:12.904024,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:46:27.011243,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:46:41.751679,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:47:02.575770,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:47:18.149246,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:47:44.763111,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:48:03.039077,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:48:18.178138,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:48:45.846234,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:49:10.261405,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:49:26.617871,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:49:50.194967,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:50:06.392010,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:50:29.519226,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:50:51.675168,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:51:12.314976,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:51:36.778149,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:51:55.197631,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:52:18.553182,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:52:33.380861,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:52:47.937806,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:53:12.695006,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:53:38.423395,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:54:02.759984,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:54:17.349443,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:54:43.482593,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:55:09.359755,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:55:30.247189,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:55:47.089514,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:56:14.755131,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:56:42.226458,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:57:06.233743,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:57:24.055037,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:57:44.763318,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:58:01.877548,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:58:28.939736,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:58:54.534729,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:59:12.839413,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:59:30.348686,18779,5883,31.300,12732,67.800,64.700
2024-11-05 21:59:50.116983,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:00:07.527241,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:00:28.046552,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:00:46.692314,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:01:02.661951,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:01:19.257831,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:01:38.782657,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:01:56.903739,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:02:22.244091,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:02:41.350604,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:02:55.186368,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:03:19.062793,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:03:35.436914,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:03:57.837409,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:04:15.205006,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:04:38.946158,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:04:54.133934,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:05:15.020813,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:05:41.849145,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:06:00.328442,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:06:25.353004,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:06:42.253783,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:07:05.257718,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:07:25.740709,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:07:49.619699,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:08:15.724590,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:08:31.521149,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:08:50.495357,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:09:14.609396,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:09:29.608807,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:09:46.501052,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:10:10.254215,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:10:36.690308,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:11:01.121162,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:11:30.260142,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:11:48.176429,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:12:05.842532,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:12:33.286460,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:12:58.384086,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:13:22.883449,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:13:38.760961,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:14:07.272137,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:14:27.114113,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:14:44.180018,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:14:57.913159,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:15:18.170844,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:15:31.360053,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:15:47.781468,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:16:01.008650,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:16:18.148348,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:16:33.457378,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:16:53.844622,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:17:20.032449,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:17:34.790505,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:17:57.250526,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:18:12.208149,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:18:29.945299,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:18:50.460473,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:19:11.827143,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:19:27.565190,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:19:54.005063,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:20:09.743159,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:20:38.125375,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:20:54.664069,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:21:11.499605,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:21:33.593524,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:21:49.637341,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:22:17.306158,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:22:43.749931,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:23:03.046176,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:23:24.204423,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:23:47.323363,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:24:15.207099,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:24:44.982230,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:25:09.230152,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:25:31.748068,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:25:46.559104,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:26:08.399926,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:26:26.559476,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:26:43.179267,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:27:10.870950,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:27:28.842342,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:27:51.219849,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:28:06.574043,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:28:31.030210,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:29:01.841766,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:29:29.439845,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:29:53.793894,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:30:16.508172,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:30:37.953032,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:30:59.241644,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:31:15.776288,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:31:41.895369,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:32:08.177382,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:32:34.957622,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:32:59.648063,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:33:16.841261,18779,5883,31.300,12732,67.800,64.700
2024-11-05 22:33:37.583285,18779,5883,31.300,12732,67.800,64.700
